ShipmentItem,Shipment,Item,OrderItem,Date,Stock
202888-1,202888,1,105798-1,9/19/2024,S0586
202889-1,202889,1,105799-1,11/8/2025,S0219
202889-2,202889,2,105799-2,11/8/2025,S0255
202889-3,202889,3,105799-3,11/8/2025,S0459
202889-4,202889,4,105799-4,11/8/2025,S0462
202890-1,202890,1,105801-1,1/20/2025,S0573
202890-2,202890,2,105801-2,1/20/2025,S0007
202890-3,202890,3,105801-3,1/20/2025,S0560
202891-1,202891,1,105806-1,2/19/2023,S0288
202891-2,202891,2,105806-2,2/19/2023,S0186
202892-1,202892,1,105808-1,11/6/2022,S0524
202892-2,202892,2,105808-2,11/6/2022,S0031
202893-1,202893,1,105812-1,9/15/2023,S0411
202893-2,202893,2,105812-2,9/15/2023,S0458
202893-3,202893,3,105812-3,9/15/2023,S0345
202893-4,202893,4,105812-4,9/15/2023,S0406
202894-1,202894,1,105817-1,10/13/2022,S0400
202894-2,202894,2,105817-2,10/13/2022,S0193
202894-3,202894,3,105817-3,10/13/2022,S0283
202895-1,202895,1,105820-1,7/25/2024,S0384
202896-1,202896,1,105821-1,11/15/2024,S0271
202896-2,202896,2,105821-2,11/15/2024,S0127
202896-3,202896,3,105821-3,11/15/2024,S0009
202897-1,202897,1,105822-1,8/8/2023,S0415
202898-1,202898,1,105823-1,2/9/2025,S0550
202898-2,202898,2,105823-2,2/9/2025,S0441
202898-3,202898,3,105823-3,2/9/2025,S0300
202899-1,202899,1,105824-1,12/3/2024,S0047
202899-2,202899,2,105824-2,12/3/2024,S0334
202899-3,202899,3,105824-3,12/3/2024,S0290
202899-4,202899,4,105824-4,12/3/2024,S0476
202899-5,202899,5,105824-5,12/3/2024,S0346
202900-1,202900,1,105832-1,11/5/2022,S0273
202900-2,202900,2,105832-2,11/5/2022,S0254
202900-3,202900,3,105832-3,11/5/2022,S0498
202900-4,202900,4,105832-4,11/5/2022,S0268
202901-1,202901,1,105833-1,2/17/2023,S0069
202902-1,202902,1,105835-1,6/11/2024,S0616
202902-2,202902,2,105835-2,6/11/2024,S0483
202903-1,202903,1,105836-1,2/24/2025,S0258
202903-2,202903,2,105836-2,2/24/2025,S0006
202903-3,202903,3,105836-3,2/24/2025,S0277
202903-4,202903,4,105836-4,2/24/2025,S0351
202903-5,202903,5,105836-5,2/24/2025,S0007
202904-1,202904,1,105837-1,3/12/2022,S0431
202904-2,202904,2,105837-2,3/12/2022,S0158
202904-3,202904,3,105837-3,3/12/2022,S0054
202904-4,202904,4,105837-4,3/12/2022,S0440
202905-1,202905,1,105838-1,5/3/2025,S0234
202905-2,202905,2,105838-2,5/3/2025,S0187
202905-3,202905,3,105838-3,5/3/2025,S0168
202905-4,202905,4,105838-4,5/3/2025,S0295
202905-5,202905,5,105838-5,5/3/2025,S0610
202906-1,202906,1,105839-1,8/14/2022,S0507
202906-2,202906,2,105839-2,8/14/2022,S0065
202907-1,202907,1,105840-1,12/28/2022,S0185
202907-2,202907,2,105840-2,12/28/2022,S0027
202907-3,202907,3,105840-3,12/28/2022,S0117
202907-4,202907,4,105840-4,12/28/2022,S0234
202908-1,202908,1,105843-1,11/3/2022,S0109
202909-1,202909,1,105844-1,12/26/2025,S0093
202909-2,202909,2,105844-2,12/26/2025,S0579
202909-3,202909,3,105844-3,12/26/2025,S0115
202909-4,202909,4,105844-4,12/26/2025,S0543
202909-5,202909,5,105844-5,12/26/2025,S0472
202910-1,202910,1,105847-1,4/18/2024,S0255
202910-2,202910,2,105847-2,4/18/2024,S0474
202910-3,202910,3,105847-3,4/18/2024,S0424
202910-4,202910,4,105847-4,4/18/2024,S0270
202911-1,202911,1,105848-1,11/16/2025,S0521
202911-2,202911,2,105848-2,11/16/2025,S0399
202911-3,202911,3,105848-3,11/16/2025,S0452
202911-4,202911,4,105848-4,11/16/2025,S0043
202911-5,202911,5,105848-5,11/16/2025,S0209
202912-1,202912,1,105850-1,9/16/2022,S0221
202912-2,202912,2,105850-2,9/16/2022,S0592
202912-3,202912,3,105850-3,9/16/2022,S0030
202912-4,202912,4,105850-4,9/16/2022,S0350
202912-5,202912,5,105850-5,9/16/2022,S0121
202913-1,202913,1,105851-1,3/4/2023,S0455
202913-2,202913,2,105851-2,3/4/2023,S0407
202914-1,202914,1,105855-1,9/14/2025,S0372
202914-2,202914,2,105855-2,9/14/2025,S0267
202914-3,202914,3,105855-3,9/14/2025,S0360
202915-1,202915,1,105857-1,3/15/2024,S0124
202915-2,202915,2,105857-2,3/15/2024,S0539
202915-3,202915,3,105857-3,3/15/2024,S0273
202915-4,202915,4,105857-4,3/15/2024,S0151
202916-1,202916,1,105858-1,4/21/2023,S0418
202916-2,202916,2,105858-2,4/21/2023,S0470
202916-3,202916,3,105858-3,4/21/2023,S0338
202916-4,202916,4,105858-4,4/21/2023,S0511
202916-5,202916,5,105858-5,4/21/2023,S0410
202917-1,202917,1,105859-1,4/30/2024,S0091
202917-2,202917,2,105859-2,4/30/2024,S0467
202917-3,202917,3,105859-3,4/30/2024,S0265
202917-4,202917,4,105859-4,4/30/2024,S0221
202917-5,202917,5,105859-5,4/30/2024,S0446
202918-1,202918,1,105860-1,8/25/2025,S0501
202918-2,202918,2,105860-2,8/25/2025,S0250
202918-3,202918,3,105860-3,8/25/2025,S0253
202919-1,202919,1,105862-1,7/16/2025,S0007
202919-2,202919,2,105862-2,7/16/2025,S0291
202920-1,202920,1,105865-1,12/11/2022,S0103
202920-2,202920,2,105865-2,12/11/2022,S0240
202920-3,202920,3,105865-3,12/11/2022,S0163
202921-1,202921,1,105866-1,8/20/2024,S0400
202921-2,202921,2,105866-2,8/20/2024,S0445
202921-3,202921,3,105866-3,8/20/2024,S0221
202921-4,202921,4,105866-4,8/20/2024,S0500
202921-5,202921,5,105866-5,8/20/2024,S0326
202922-1,202922,1,105869-1,6/23/2023,S0601
202922-2,202922,2,105869-2,6/23/2023,S0019
202922-3,202922,3,105869-3,6/23/2023,S0047
202922-4,202922,4,105869-4,6/23/2023,S0589
202923-1,202923,1,105871-1,1/25/2024,S0395
202923-2,202923,2,105871-2,1/25/2024,S0620
202923-3,202923,3,105871-3,1/25/2024,S0464
202924-1,202924,1,105873-1,1/31/2022,S0094
202925-1,202925,1,105875-1,10/4/2024,S0411
202925-2,202925,2,105875-2,10/4/2024,S0112
202925-3,202925,3,105875-3,10/4/2024,S0442
202925-4,202925,4,105875-4,10/4/2024,S0601
202925-5,202925,5,105875-5,10/4/2024,S0392
202926-1,202926,1,105876-1,12/2/2023,S0175
202926-2,202926,2,105876-2,12/2/2023,S0545
202926-3,202926,3,105876-3,12/2/2023,S0188
202926-4,202926,4,105876-4,12/2/2023,S0441
202927-1,202927,1,105879-1,6/15/2023,S0178
202927-2,202927,2,105879-2,6/15/2023,S0104
202927-3,202927,3,105879-3,6/15/2023,S0256
202927-4,202927,4,105879-4,6/15/2023,S0411
202928-1,202928,1,105881-1,6/12/2023,S0600
202928-2,202928,2,105881-2,6/12/2023,S0408
202928-3,202928,3,105881-3,6/12/2023,S0585
202929-1,202929,1,105882-1,1/10/2025,S0504
202930-1,202930,1,105885-1,7/28/2024,S0082
202930-2,202930,2,105885-2,7/28/2024,S0403
202931-1,202931,1,105886-1,7/12/2022,S0608
202931-2,202931,2,105886-2,7/12/2022,S0254
202931-3,202931,3,105886-3,7/12/2022,S0094
202932-1,202932,1,105888-1,6/15/2022,S0321
202932-2,202932,2,105888-2,6/15/2022,S0381
202933-1,202933,1,105890-1,3/7/2024,S0209
202933-2,202933,2,105890-2,3/7/2024,S0583
202933-3,202933,3,105890-3,3/7/2024,S0611
202933-4,202933,4,105890-4,3/7/2024,S0319
202933-5,202933,5,105890-5,3/7/2024,S0526
202934-1,202934,1,105891-1,3/22/2024,S0474
202934-2,202934,2,105891-2,3/22/2024,S0446
202934-3,202934,3,105891-3,3/22/2024,S0399
202934-4,202934,4,105891-4,3/22/2024,S0008
202934-5,202934,5,105891-5,3/22/2024,S0609
202935-1,202935,1,105892-1,7/29/2025,S0434
202935-2,202935,2,105892-2,7/29/2025,S0126
202935-3,202935,3,105892-3,7/29/2025,S0440
202935-4,202935,4,105892-4,7/29/2025,S0290
202936-1,202936,1,105893-1,4/8/2023,S0191
202936-2,202936,2,105893-2,4/8/2023,S0130
202936-3,202936,3,105893-3,4/8/2023,S0351
202936-4,202936,4,105893-4,4/8/2023,S0377
202936-5,202936,5,105893-5,4/8/2023,S0408
202937-1,202937,1,105894-1,2/2/2023,S0347
202937-2,202937,2,105894-2,2/2/2023,S0127
202937-3,202937,3,105894-3,2/2/2023,S0521
202937-4,202937,4,105894-4,2/2/2023,S0614
202937-5,202937,5,105894-5,2/2/2023,S0626
202938-1,202938,1,105897-1,9/11/2025,S0321
202938-2,202938,2,105897-2,9/11/2025,S0019
202938-3,202938,3,105897-3,9/11/2025,S0402
202938-4,202938,4,105897-4,9/11/2025,S0108
202939-1,202939,1,105900-1,2/22/2022,S0536
202940-1,202940,1,105902-1,11/11/2022,S0415
202940-2,202940,2,105902-2,11/11/2022,S0434
202940-3,202940,3,105902-3,11/11/2022,S0367
202941-1,202941,1,105905-1,4/25/2024,S0600
202941-2,202941,2,105905-2,4/25/2024,S0568
202942-1,202942,1,105907-1,4/1/2025,S0140
202943-1,202943,1,105911-1,6/5/2022,S0072
202944-1,202944,1,105914-1,2/18/2024,S0479
202944-2,202944,2,105914-2,2/18/2024,S0023
202945-1,202945,1,105917-1,8/25/2022,S0460
202946-1,202946,1,105919-1,8/8/2022,S0372
202946-2,202946,2,105919-2,8/8/2022,S0269
202947-1,202947,1,105923-1,2/1/2025,S0554
202947-2,202947,2,105923-2,2/1/2025,S0145
202947-3,202947,3,105923-3,2/1/2025,S0171
202947-4,202947,4,105923-4,2/1/2025,S0126
202948-1,202948,1,105926-1,2/23/2023,S0340
202948-2,202948,2,105926-2,2/23/2023,S0550
202948-3,202948,3,105926-3,2/23/2023,S0373
202948-4,202948,4,105926-4,2/23/2023,S0300
202948-5,202948,5,105926-5,2/23/2023,S0075
202949-1,202949,1,105927-1,7/6/2023,S0001
202949-2,202949,2,105927-2,7/6/2023,S0322
202949-3,202949,3,105927-3,7/6/2023,S0119
202949-4,202949,4,105927-4,7/6/2023,S0246
202950-1,202950,1,105931-1,10/15/2024,S0112
202951-1,202951,1,105933-1,3/21/2025,S0195
202951-2,202951,2,105933-2,3/21/2025,S0540
202951-3,202951,3,105933-3,3/21/2025,S0208
202952-1,202952,1,105934-1,6/24/2023,S0468
202953-1,202953,1,105935-1,8/4/2022,S0119
202953-2,202953,2,105935-2,8/4/2022,S0056
202953-3,202953,3,105935-3,8/4/2022,S0407
202953-4,202953,4,105935-4,8/4/2022,S0383
202954-1,202954,1,105936-1,11/11/2022,S0540
202954-2,202954,2,105936-2,11/11/2022,S0130
202954-3,202954,3,105936-3,11/11/2022,S0148
202954-4,202954,4,105936-4,11/11/2022,S0595
202954-5,202954,5,105936-5,11/11/2022,S0609
202955-1,202955,1,105937-1,2/5/2023,S0296
202955-2,202955,2,105937-2,2/5/2023,S0167
202955-3,202955,3,105937-3,2/5/2023,S0260
202955-4,202955,4,105937-4,2/5/2023,S0023
202956-1,202956,1,105943-1,2/4/2022,S0062
202957-1,202957,1,105944-1,11/27/2025,S0093
202958-1,202958,1,105945-1,1/25/2024,S0617
202958-2,202958,2,105945-2,1/25/2024,S0357
202958-3,202958,3,105945-3,1/25/2024,S0206
202958-4,202958,4,105945-4,1/25/2024,S0529
202958-5,202958,5,105945-5,1/25/2024,S0561
202959-1,202959,1,105946-1,3/29/2025,S0152
202960-1,202960,1,105948-1,3/5/2023,S0311
202960-2,202960,2,105948-2,3/5/2023,S0254
202961-1,202961,1,105949-1,10/22/2023,S0499
202961-2,202961,2,105949-2,10/22/2023,S0128
202961-3,202961,3,105949-3,10/22/2023,S0529
202961-4,202961,4,105949-4,10/22/2023,S0480
202961-5,202961,5,105949-5,10/22/2023,S0577
202962-1,202962,1,105951-1,9/16/2024,S0431
202962-2,202962,2,105951-2,9/16/2024,S0275
202962-3,202962,3,105951-3,9/16/2024,S0023
202963-1,202963,1,105953-1,2/14/2022,S0418
202963-2,202963,2,105953-2,2/14/2022,S0291
202964-1,202964,1,105954-1,6/6/2022,S0519
202964-2,202964,2,105954-2,6/6/2022,S0455
202964-3,202964,3,105954-3,6/6/2022,S0592
202965-1,202965,1,105956-1,4/13/2025,S0441
202966-1,202966,1,105957-1,8/16/2022,S0532
202966-2,202966,2,105957-2,8/16/2022,S0592
202966-3,202966,3,105957-3,8/16/2022,S0388
202966-4,202966,4,105957-4,8/16/2022,S0181
202966-5,202966,5,105957-5,8/16/2022,S0461
202967-1,202967,1,105960-1,9/16/2024,S0313
202967-2,202967,2,105960-2,9/16/2024,S0160
202967-3,202967,3,105960-3,9/16/2024,S0469
202967-4,202967,4,105960-4,9/16/2024,S0223
202968-1,202968,1,105961-1,1/30/2022,S0175
202968-2,202968,2,105961-2,1/30/2022,S0283
202968-3,202968,3,105961-3,1/30/2022,S0442
202968-4,202968,4,105961-4,1/30/2022,S0373
202968-5,202968,5,105961-5,1/30/2022,S0173
202969-1,202969,1,105963-1,4/13/2023,S0401
202970-1,202970,1,105965-1,7/15/2025,S0037
202971-1,202971,1,105967-1,10/2/2022,S0380
202972-1,202972,1,105969-1,8/3/2022,S0399
202972-2,202972,2,105969-2,8/3/2022,S0088
202972-3,202972,3,105969-3,8/3/2022,S0420
202972-4,202972,4,105969-4,8/3/2022,S0164
202973-1,202973,1,105971-1,8/2/2025,S0174
202974-1,202974,1,105973-1,10/5/2022,S0183
202974-2,202974,2,105973-2,10/5/2022,S0483
202974-3,202974,3,105973-3,10/5/2022,S0130
202975-1,202975,1,105974-1,12/14/2022,S0311
202975-2,202975,2,105974-2,12/14/2022,S0118
202975-3,202975,3,105974-3,12/14/2022,S0003
202976-1,202976,1,105975-1,10/15/2022,S0492
202976-2,202976,2,105975-2,10/15/2022,S0289
202976-3,202976,3,105975-3,10/15/2022,S0040
202976-4,202976,4,105975-4,10/15/2022,S0427
202977-1,202977,1,105978-1,2/12/2022,S0042
202977-2,202977,2,105978-2,2/12/2022,S0221
202977-3,202977,3,105978-3,2/12/2022,S0026
202977-4,202977,4,105978-4,2/12/2022,S0112
202978-1,202978,1,105979-1,5/4/2023,S0073
202978-2,202978,2,105979-2,5/4/2023,S0444
202978-3,202978,3,105979-3,5/4/2023,S0003
202978-4,202978,4,105979-4,5/4/2023,S0292
202979-1,202979,1,105980-1,10/25/2024,S0550
202979-2,202979,2,105980-2,10/25/2024,S0307
202980-1,202980,1,105983-1,6/30/2025,S0407
202980-2,202980,2,105983-2,6/30/2025,S0571
202981-1,202981,1,105987-1,7/7/2022,S0123
202981-2,202981,2,105987-2,7/7/2022,S0063
202982-1,202982,1,105990-1,1/25/2024,S0542
202982-2,202982,2,105990-2,1/25/2024,S0006
202982-3,202982,3,105990-3,1/25/2024,S0056
202983-1,202983,1,105991-1,6/2/2024,S0279
202984-1,202984,1,105993-1,2/12/2023,S0590
202984-2,202984,2,105993-2,2/12/2023,S0097
202985-1,202985,1,105994-1,9/30/2025,S0356
202985-2,202985,2,105994-2,9/30/2025,S0264
202985-3,202985,3,105994-3,9/30/2025,S0148
202986-1,202986,1,105998-1,1/26/2022,S0608
202986-2,202986,2,105998-2,1/26/2022,S0535
202986-3,202986,3,105998-3,1/26/2022,S0161
202986-4,202986,4,105998-4,1/26/2022,S0185
202986-5,202986,5,105998-5,1/26/2022,S0368
202987-1,202987,1,106000-1,6/24/2024,S0243
202987-2,202987,2,106000-2,6/24/2024,S0438
202987-3,202987,3,106000-3,6/24/2024,S0542
202987-4,202987,4,106000-4,6/24/2024,S0549
202987-5,202987,5,106000-5,6/24/2024,S0511
202988-1,202988,1,106003-1,5/18/2024,S0008
202988-2,202988,2,106003-2,5/18/2024,S0324
202988-3,202988,3,106003-3,5/18/2024,S0614
202989-1,202989,1,106005-1,7/28/2022,S0171
202989-2,202989,2,106005-2,7/28/2022,S0588
202990-1,202990,1,106007-1,10/4/2024,S0261
202990-2,202990,2,106007-2,10/4/2024,S0192
202990-3,202990,3,106007-3,10/4/2024,S0274
202990-4,202990,4,106007-4,10/4/2024,S0296
202990-5,202990,5,106007-5,10/4/2024,S0495
202991-1,202991,1,106008-1,9/5/2023,S0158
202991-2,202991,2,106008-2,9/5/2023,S0111
202991-3,202991,3,106008-3,9/5/2023,S0031
202991-4,202991,4,106008-4,9/5/2023,S0581
202991-5,202991,5,106008-5,9/5/2023,S0397
202992-1,202992,1,106013-1,3/5/2024,S0137
202992-2,202992,2,106013-2,3/5/2024,S0582
202992-3,202992,3,106013-3,3/5/2024,S0269
202993-1,202993,1,106016-1,7/7/2024,S0618
202994-1,202994,1,106017-1,12/20/2022,S0409
202994-2,202994,2,106017-2,12/20/2022,S0065
202995-1,202995,1,106022-1,8/9/2022,S0062
202996-1,202996,1,106024-1,12/1/2024,S0386
202996-2,202996,2,106024-2,12/1/2024,S0379
202996-3,202996,3,106024-3,12/1/2024,S0283
202997-1,202997,1,106025-1,5/25/2022,S0252
202997-2,202997,2,106025-2,5/25/2022,S0005
202997-3,202997,3,106025-3,5/25/2022,S0084
202997-4,202997,4,106025-4,5/25/2022,S0078
202997-5,202997,5,106025-5,5/25/2022,S0416
202998-1,202998,1,106026-1,1/23/2025,S0419
202998-2,202998,2,106026-2,1/23/2025,S0410
202998-3,202998,3,106026-3,1/23/2025,S0237
202998-4,202998,4,106026-4,1/23/2025,S0062
202999-1,202999,1,106027-1,9/1/2022,S0424
203000-1,203000,1,106028-1,8/21/2024,S0410
203000-2,203000,2,106028-2,8/21/2024,S0236
203000-3,203000,3,106028-3,8/21/2024,S0011
203001-1,203001,1,106029-1,9/22/2023,S0619
203001-2,203001,2,106029-2,9/22/2023,S0380
203001-3,203001,3,106029-3,9/22/2023,S0016
203002-1,203002,1,106034-1,9/18/2023,S0001
203003-1,203003,1,106035-1,3/25/2023,S0124
203004-1,203004,1,106036-1,7/12/2022,S0356
203005-1,203005,1,106041-1,9/18/2025,S0325
203006-1,203006,1,106044-1,9/13/2025,S0463
203007-1,203007,1,106046-1,1/3/2023,S0297
203007-2,203007,2,106046-2,1/3/2023,S0472
203008-1,203008,1,106047-1,2/7/2022,S0174
203008-2,203008,2,106047-2,2/7/2022,S0261
203008-3,203008,3,106047-3,2/7/2022,S0303
203008-4,203008,4,106047-4,2/7/2022,S0458
203008-5,203008,5,106047-5,2/7/2022,S0469
203009-1,203009,1,106048-1,11/24/2024,S0530
203009-2,203009,2,106048-2,11/24/2024,S0512
203009-3,203009,3,106048-3,11/24/2024,S0419
203010-1,203010,1,106054-1,11/24/2024,S0088
203011-1,203011,1,106057-1,11/14/2022,S0251
203011-2,203011,2,106057-2,11/14/2022,S0291
203011-3,203011,3,106057-3,11/14/2022,S0578
203011-4,203011,4,106057-4,11/14/2022,S0228
203012-1,203012,1,106058-1,2/10/2023,S0285
203013-1,203013,1,106068-1,6/25/2023,S0282
203013-2,203013,2,106068-2,6/25/2023,S0118
203014-1,203014,1,106069-1,5/27/2023,S0101
203014-2,203014,2,106069-2,5/27/2023,S0378
203014-3,203014,3,106069-3,5/27/2023,S0021
203014-4,203014,4,106069-4,5/27/2023,S0283
203015-1,203015,1,106074-1,8/16/2022,S0027
203015-2,203015,2,106074-2,8/16/2022,S0495
203015-3,203015,3,106074-3,8/16/2022,S0296
203016-1,203016,1,106075-1,2/10/2025,S0178
203016-2,203016,2,106075-2,2/10/2025,S0354
203016-3,203016,3,106075-3,2/10/2025,S0521
203016-4,203016,4,106075-4,2/10/2025,S0492
203016-5,203016,5,106075-5,2/10/2025,S0219
203017-1,203017,1,106077-1,3/3/2023,S0620
203017-2,203017,2,106077-2,3/3/2023,S0480
203018-1,203018,1,106078-1,1/12/2022,S0112
203018-2,203018,2,106078-2,1/12/2022,S0037
203018-3,203018,3,106078-3,1/12/2022,S0431
203018-4,203018,4,106078-4,1/12/2022,S0566
203018-5,203018,5,106078-5,1/12/2022,S0553
203019-1,203019,1,106079-1,2/11/2022,S0313
203020-1,203020,1,106081-1,9/27/2025,S0547
203021-1,203021,1,106082-1,4/29/2025,S0428
203021-2,203021,2,106082-2,4/29/2025,S0177
203021-3,203021,3,106082-3,4/29/2025,S0115
203022-1,203022,1,106083-1,12/8/2022,S0268
203022-2,203022,2,106083-2,12/8/2022,S0305
203022-3,203022,3,106083-3,12/8/2022,S0231
203023-1,203023,1,106084-1,2/17/2024,S0509
203023-2,203023,2,106084-2,2/17/2024,S0305
203023-3,203023,3,106084-3,2/17/2024,S0620
203023-4,203023,4,106084-4,2/17/2024,S0609
203023-5,203023,5,106084-5,2/17/2024,S0324
203024-1,203024,1,106085-1,4/13/2023,S0418
203024-2,203024,2,106085-2,4/13/2023,S0253
203024-3,203024,3,106085-3,4/13/2023,S0277
203024-4,203024,4,106085-4,4/13/2023,S0412
203025-1,203025,1,106086-1,5/18/2022,S0120
203025-2,203025,2,106086-2,5/18/2022,S0615
203025-3,203025,3,106086-3,5/18/2022,S0345
203026-1,203026,1,106087-1,10/2/2025,S0509
203026-2,203026,2,106087-2,10/2/2025,S0223
203026-3,203026,3,106087-3,10/2/2025,S0527
203027-1,203027,1,106089-1,12/3/2022,S0458
203027-2,203027,2,106089-2,12/3/2022,S0259
203027-3,203027,3,106089-3,12/3/2022,S0525
203027-4,203027,4,106089-4,12/3/2022,S0346
203028-1,203028,1,106090-1,3/16/2025,S0185
203029-1,203029,1,106092-1,7/30/2025,S0525
203029-2,203029,2,106092-2,7/30/2025,S0548
203029-3,203029,3,106092-3,7/30/2025,S0613
203030-1,203030,1,106095-1,10/2/2024,S0096
203031-1,203031,1,106096-1,4/3/2025,S0467
203031-2,203031,2,106096-2,4/3/2025,S0490
203031-3,203031,3,106096-3,4/3/2025,S0119
203031-4,203031,4,106096-4,4/3/2025,S0014
203032-1,203032,1,106098-1,4/2/2023,S0571
203032-2,203032,2,106098-2,4/2/2023,S0167
203032-3,203032,3,106098-3,4/2/2023,S0606
203033-1,203033,1,106100-1,8/25/2022,S0180
203033-2,203033,2,106100-2,8/25/2022,S0577
203033-3,203033,3,106100-3,8/25/2022,S0540
203033-4,203033,4,106100-4,8/25/2022,S0320
203034-1,203034,1,106101-1,10/11/2023,S0304
203035-1,203035,1,106103-1,5/13/2024,S0175
203036-1,203036,1,106104-1,11/10/2022,S0234
203036-2,203036,2,106104-2,11/10/2022,S0123
203036-3,203036,3,106104-3,11/10/2022,S0278
203036-4,203036,4,106104-4,11/10/2022,S0390
203037-1,203037,1,106106-1,1/31/2024,S0409
203037-2,203037,2,106106-2,1/31/2024,S0487
203038-1,203038,1,106107-1,9/8/2024,S0624
203039-1,203039,1,106108-1,11/29/2025,S0560
203040-1,203040,1,106115-1,9/3/2023,S0545
203040-2,203040,2,106115-2,9/3/2023,S0221
203040-3,203040,3,106115-3,9/3/2023,S0081
203041-1,203041,1,106116-1,8/1/2024,S0219
203041-2,203041,2,106116-2,8/1/2024,S0241
203042-1,203042,1,106117-1,9/16/2024,S0180
203042-2,203042,2,106117-2,9/16/2024,S0260
203042-3,203042,3,106117-3,9/16/2024,S0039
203043-1,203043,1,106118-1,8/26/2022,S0215
203043-2,203043,2,106118-2,8/26/2022,S0129
203044-1,203044,1,106121-1,4/1/2025,S0567
203044-2,203044,2,106121-2,4/1/2025,S0312
203044-3,203044,3,106121-3,4/1/2025,S0151
203044-4,203044,4,106121-4,4/1/2025,S0290
203044-5,203044,5,106121-5,4/1/2025,S0324
203045-1,203045,1,106122-1,2/19/2022,S0191
203045-2,203045,2,106122-2,2/19/2022,S0489
203045-3,203045,3,106122-3,2/19/2022,S0565
203045-4,203045,4,106122-4,2/19/2022,S0221
203045-5,203045,5,106122-5,2/19/2022,S0057
203046-1,203046,1,106123-1,11/19/2022,S0409
203047-1,203047,1,106124-1,11/5/2025,S0458
203048-1,203048,1,106125-1,8/11/2024,S0254
203048-2,203048,2,106125-2,8/11/2024,S0100
203049-1,203049,1,106128-1,11/13/2024,S0180
203049-2,203049,2,106128-2,11/13/2024,S0338
203050-1,203050,1,106131-1,3/19/2024,S0169
203051-1,203051,1,106132-1,6/26/2024,S0180
203052-1,203052,1,106133-1,3/16/2025,S0452
203052-2,203052,2,106133-2,3/16/2025,S0550
203052-3,203052,3,106133-3,3/16/2025,S0250
203052-4,203052,4,106133-4,3/16/2025,S0263
203052-5,203052,5,106133-5,3/16/2025,S0055
203053-1,203053,1,106135-1,5/2/2024,S0004
203054-1,203054,1,106136-1,12/15/2025,S0392
203054-2,203054,2,106136-2,12/15/2025,S0267
203054-3,203054,3,106136-3,12/15/2025,S0025
203055-1,203055,1,106137-1,9/19/2025,S0370
203055-2,203055,2,106137-2,9/19/2025,S0065
203056-1,203056,1,106142-1,8/3/2023,S0428
203057-1,203057,1,106145-1,4/16/2023,S0188
203057-2,203057,2,106145-2,4/16/2023,S0061
203057-3,203057,3,106145-3,4/16/2023,S0507
203058-1,203058,1,106149-1,8/29/2022,S0436
203058-2,203058,2,106149-2,8/29/2022,S0482
203059-1,203059,1,106150-1,2/18/2022,S0026
203060-1,203060,1,106151-1,6/8/2023,S0463
203060-2,203060,2,106151-2,6/8/2023,S0500
203061-1,203061,1,106154-1,6/11/2025,S0507
203061-2,203061,2,106154-2,6/11/2025,S0029
203062-1,203062,1,106156-1,12/1/2022,S0326
203063-1,203063,1,106162-1,5/24/2022,S0433
203063-2,203063,2,106162-2,5/24/2022,S0060
203063-3,203063,3,106162-3,5/24/2022,S0072
203063-4,203063,4,106162-4,5/24/2022,S0474
203063-5,203063,5,106162-5,5/24/2022,S0359
203064-1,203064,1,106164-1,10/17/2023,S0136
203064-2,203064,2,106164-2,10/17/2023,S0255
203065-1,203065,1,106166-1,11/22/2025,S0620
203065-2,203065,2,106166-2,11/22/2025,S0006
203066-1,203066,1,106170-1,10/16/2022,S0109
203066-2,203066,2,106170-2,10/16/2022,S0459
203066-3,203066,3,106170-3,10/16/2022,S0606
203067-1,203067,1,106171-1,9/24/2022,S0076
203067-2,203067,2,106171-2,9/24/2022,S0159
203068-1,203068,1,106172-1,7/11/2025,S0094
203068-2,203068,2,106172-2,7/11/2025,S0435
203068-3,203068,3,106172-3,7/11/2025,S0369
203069-1,203069,1,106173-1,10/18/2025,S0245
203070-1,203070,1,106174-1,11/7/2022,S0071
203070-2,203070,2,106174-2,11/7/2022,S0087
203070-3,203070,3,106174-3,11/7/2022,S0534
203071-1,203071,1,106177-1,6/25/2023,S0258
203071-2,203071,2,106177-2,6/25/2023,S0142
203072-1,203072,1,106178-1,12/26/2024,S0300
203072-2,203072,2,106178-2,12/26/2024,S0365
203072-3,203072,3,106178-3,12/26/2024,S0222
203072-4,203072,4,106178-4,12/26/2024,S0614
203072-5,203072,5,106178-5,12/26/2024,S0315
203073-1,203073,1,106179-1,9/4/2023,S0293
203074-1,203074,1,106180-1,7/6/2024,S0020
203074-2,203074,2,106180-2,7/6/2024,S0472
203075-1,203075,1,106182-1,4/19/2025,S0500
203076-1,203076,1,106187-1,1/15/2022,S0149
203076-2,203076,2,106187-2,1/15/2022,S0624
203076-3,203076,3,106187-3,1/15/2022,S0129
203076-4,203076,4,106187-4,1/15/2022,S0254
203077-1,203077,1,106194-1,8/31/2022,S0420
203078-1,203078,1,106195-1,8/19/2025,S0450
203078-2,203078,2,106195-2,8/19/2025,S0111
203079-1,203079,1,106197-1,11/21/2022,S0315
203079-2,203079,2,106197-2,11/21/2022,S0374
203079-3,203079,3,106197-3,11/21/2022,S0455
203079-4,203079,4,106197-4,11/21/2022,S0510
203079-5,203079,5,106197-5,11/21/2022,S0278
203080-1,203080,1,106198-1,6/20/2023,S0207
203080-2,203080,2,106198-2,6/20/2023,S0284
